,Fecha,T. media,T. minima,T. maxima,Precipitacion,Nieve,Velocidad viento
311,2024-11-07,15.8,13.0,19.0,1.8,0.0,5.6
312,2024-11-08,15.7,11.0,20.0,0.2,0.0,4.1
313,2024-11-09,14.4,10.0,19.0,3.2,0.0,4.0
314,2024-11-10,14.0,9.0,19.0,0.0,0.0,5.5
315,2024-11-11,13.0,8.0,20.0,0.0,0.0,5.2
316,2024-11-12,10.9,9.0,15.0,11.1,0.0,6.6
317,2024-11-13,11.8,9.0,15.0,2.6,0.0,9.1
318,2024-11-14,11.7,7.0,17.0,0.0,0.0,6.9
319,2024-11-15,13.0,11.0,17.0,0.0,0.0,3.6
320,2024-11-16,13.5,9.0,19.0,0.0,0.0,3.6
321,2024-11-17,12.4,8.0,20.0,0.0,0.0,3.3
322,2024-11-18,11.0,7.0,15.0,0.1,0.0,5.1
323,2024-11-19,13.5,8.0,21.0,0.0,0.0,8.0
324,2024-11-20,15.2,12.0,18.0,0.0,0.0,17.9
325,2024-11-21,13.5,8.0,17.0,0.0,0.0,10.8
326,2024-11-22,13.9,11.0,17.0,1.9,0.0,13.3
327,2024-11-23,12.8,9.0,17.0,0.0,0.0,5.7
328,2024-11-24,14.8,12.0,19.0,0.4,0.0,5.3
329,2024-11-25,14.0,10.0,18.0,0.0,0.0,3.7
330,2024-11-26,12.6,9.0,16.0,0.3,0.0,5.5
331,2024-11-27,10.5,6.0,17.0,0.0,0.0,4.6
332,2024-11-28,9.2,3.0,18.0,0.0,0.0,3.8
333,2024-11-29,9.7,4.0,18.0,0.0,0.0,3.6
334,2024-11-30,10.8,6.0,17.0,0.0,0.0,4.1
335,2024-12-01,12.9,11.0,17.0,0.0,0.0,5.8
336,2024-12-02,11.9,8.0,19.0,0.0,0.0,5.4
337,2024-12-03,9.9,6.0,15.0,1.9,0.0,6.7
338,2024-12-04,9.9,7.0,14.0,4.9,0.0,6.8
339,2024-12-05,9.1,5.0,16.0,0.0,0.0,4.5
340,2024-12-06,11.1,7.0,16.0,0.0,0.0,5.2
341,2024-12-07,12.5,8.0,18.0,0.0,0.0,15.6
342,2024-12-08,8.3,4.0,13.0,0.0,0.0,16.5
343,2024-12-09,7.6,3.0,12.0,0.0,0.0,7.7
344,2024-12-10,7.0,4.0,10.0,8.9,0.0,4.8
