,Nombre_tienda,Estrellas,Reseñas,Precio,Tipo_local,Direccion
51,Ingrediente Secreto,"5,0",(461),"5,0(461) · 10-20 €","Vegetariana estricta · Carrer del Tei, 5, local
Abierto ⋅ Cierra a las 17:30","Vegetariana estricta · Carrer del Tei, 5, local"
52,Pa del Canal,"4,2",(235),"4,2(235) · 1-10 €","Panadería ·  · Carrer de la Indústria, 282-294, local 1
Abierto ⋅ Cierra a las 21:00","Panadería ·  · Carrer de la Indústria, 282-294, local 1"
53,Santagloria Coffee & Bakery,"4,0",(311),"4,0(311) · 1-10 €","Cafetería ·  · Plaça Plana, 8
Abierto ⋅ Cierra a las 20:30","Cafetería ·  · Plaça Plana, 8"
54,Can Farines,"4,3",(46),"4,3(46) · 1-10 €","Cafetería ·  · Carrer de Guifré, 92
Abierto ⋅ Cierra a las 20:30","Cafetería ·  · Carrer de Guifré, 92"
55,Coffee & Company,"4,8",(603),"4,8(603) · 1-10 €","Cafetería ·  · Carrer de la Concòrdia, 1
Abierto ⋅ Cierra a las 21:00","Cafetería ·  · Carrer de la Concòrdia, 1"
56,La Masovera,"4,4",(133),"4,4(133) · 1-10 €","Cafetería ·  · Carrer de Mar, 37
Abierto ⋅ Cierra a las 21:00","Cafetería ·  · Carrer de Mar, 37"
57,Bertran,"4,3",(1.119),"4,3(1.119) · 1-10 €","Panadería · Carrer del Canonge Baranera, 46
Abierto ⋅ Cierra a las 21:00","Panadería · Carrer del Canonge Baranera, 46"
58,Can Soler - Mar,"4,6",(1.524),"4,6(1.524) · €€","Helado ·  · Carrer de Mar, 97
Cafetería con helados artesanos propios
Cerrado ⋅ Apertura: 15:00","Helado ·  · Carrer de Mar, 97"
59,MisterCafé.es,"4,3",(150),"4,3(150) · 10-20 €","Cafetería ·  · Carrer de la Independència, 78
Abierto ⋅ Cierra a las 23:00","Cafetería ·  · Carrer de la Independència, 78"
60,Cafè Milan,"4,6",(123),"4,6(123) · 1-10 €","Cafetería ·  · Carrer d'Ignasi Iglesias, 5
Abierto ⋅ Cierra a las 18:00","Cafetería ·  · Carrer d'Ignasi Iglesias, 5"
61,Panaderia - Degustacion Evas,"4,6",(23),"4,6(23)","Panadería ·  · Ctra. de Santa Coloma, 44
Abierto ⋅ Cierra a las 18:30","Panadería ·  · Ctra. de Santa Coloma, 44"
62,Shokolatt,"3,0",(131),"3,0(131) · 1-10 €","Cafetería ·  · Calle Concòrdia (C. Com. Magic Badalona), 1
Abierto ⋅ Cierra a las 22:00","Cafetería ·  · Calle Concòrdia (C. Com. Magic Badalona), 1"
63,Sabor de Mi Colombia,"4,2",(82),"4,2(82) · 1-20 €","Panadería ·  · Av. d'Alfons XIII, 257
Abierto ⋅ Cierra a las 21:00","Panadería ·  · Av. d'Alfons XIII, 257"
64,Trastevere Cafeteria,"4,1",(272),"4,1(272) · 1-10 €","Cafetería ·  · Carrer de Lluis Maria Xirinacs I Damians, num 5
Abierto ⋅ Cierra a las 14:00 ⋅ Próxima apertura: 16:00","Cafetería ·  · Carrer de Lluis Maria Xirinacs I Damians, num 5"
65,Lolín Café Gastrobar,"4,8",(1.114),"4,8(1.114) · 20-30 €","Bar de tapas ·  · Carrer de Sant Pau, 84
Bar de tapas acogedor y animado
Cerrado ⋅ Apertura: 20:00","Bar de tapas ·  · Carrer de Sant Pau, 84"
